id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Bushwick North, 0.06700044, 0.08708268, 0.11180268, 0.11425231, 0.06743747, 0.017059  ,  0.00345814, 0.00222207, 0.00196261, 0.00440602, 0.00942514, 0.01491006,  0.03312786, 0.05236371, 0.03752272, 0.02946225, 0.02414236, 0.02239282,  0.01882954, 0.01529782, 0.01450101, 0.0179399 , 0.02104106, 0.03361712
Bushwick South, 0.08268106, 0.10640491, 0.15063842, 0.16004098, 0.08970482, 0.02199762,  0.00413024, 0.00222005, 0.00202398, 0.00520118, 0.01192166, 0.02047446,  0.04181798, 0.0722846 , 0.05757496, 0.04146483, 0.03321013, 0.03418982,  0.02739384, 0.02147036, 0.02380814, 0.03019161, 0.03602651, 0.05220793
Cambria Heights, 0.00108493, 0.00147932, 0.00140477, 0.00110147, 0.0005654 , 0.00071941,  0.00060592, 0.00048641, 0.00047378, 0.00070698, 0.00131331, 0.00267747,  0.00507469, 0.01097572, 0.01050556, 0.00468091, 0.0036814 , 0.0024872 ,  0.00143818, 0.00094091, 0.00088443, 0.00080771, 0.00080275, 0.0010832 
Canarsie, 0.0072829 , 0.00819236, 0.00826764, 0.00757161, 0.00445869, 0.00197298,  0.00102054, 0.00059728, 0.00080564, 0.00149824, 0.00329126, 0.00454365,  0.00962782, 0.01615371, 0.01665603, 0.01227245, 0.00987335, 0.00803419,  0.00451843, 0.00365532, 0.00357549, 0.00353534, 0.00355677, 0.00482071
Carroll Gardens-Columbia Street-Red Hook, 0.04517491, 0.04238841, 0.03783178, 0.03419871, 0.00992049,-0.02306593, -0.02421812,-0.03057605,-0.04971885,-0.05940146,-0.04633537,-0.02438216, -0.01458211, 0.01838312, 0.04533017, 0.03394902, 0.03816369, 0.04902995,  0.04786544, 0.0377157 , 0.03852157, 0.04154654, 0.04038242, 0.04147013
Central Harlem North-Polo Grounds, 0.07473223, 0.08422762, 0.09900546, 0.10669106, 0.04857324,-0.00888766, -0.01491913,-0.01759993,-0.0226632 ,-0.01892639,-0.00436127, 0.02777988,  0.0815722 , 0.14154026, 0.11809676, 0.12224556, 0.0916071 , 0.08079035,  0.06094669, 0.04518033, 0.04132016, 0.05125425, 0.05229043, 0.06218976
Central Harlem South, 0.02828846, 0.03779443, 0.04137086, 0.04890009, 0.01189514,-0.02823148, -0.01573835,-0.0311667 ,-0.04443865,-0.04193528,-0.03667526,-0.02107082, -0.0446181 ,-0.09024686,-0.07121994, 0.0120642 , 0.03753073, 0.03247564,  0.02869638, 0.02661472, 0.02458776, 0.02251965, 0.01834009, 0.02187539
Charleston-Richmond Valley-Tottenville,  4.50340753e-06,  7.30395685e-06,  5.28651976e-06,  1.03525330e-05,   5.21600700e-06,  6.17520286e-06,  2.74494965e-05,  1.46973004e-05,   9.97341736e-07,  1.47162972e-06,  1.68949258e-05,  3.36730049e-06,   3.74681708e-04, -6.34773866e-05,  1.42427853e-04,  2.37609716e-05,   7.51177664e-06,  1.27796689e-04,  1.48313482e-06,  1.83604644e-06,   1.04805171e-04,  8.92148420e-05,  8.51835489e-05,  1.24627037e-04
Chinatown,-0.16526179,-0.23115575,-0.29823325,-0.32477908,-0.18313322,-0.0629423 , -0.02471968,-0.01417901,-0.0098025 ,-0.01392158, 0.00492103, 0.05567019,  0.16499733, 0.19195378, 0.0945059 , 0.05024905, 0.02661914, 0.09086354,  0.14892088, 0.11938794, 0.05712507,-0.00370286,-0.05787572,-0.10022282
Claremont-Bathgate, 0.00351588, 0.00389763, 0.00497077, 0.00537023, 0.00235799, 0.00182168,  0.00221092, 0.0017685 , 0.00183986, 0.0013891 , 0.00229117, 0.00579536,  0.01014188, 0.01396026, 0.00797797, 0.00750171, 0.00637834, 0.00613704,  0.00404325, 0.00316865, 0.00225819, 0.00189078, 0.0014243 , 0.00208108
